Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
types/String/SplitAt/uni1-10/Text,2.5910267925782557e-8,2.5581606848352112e-8,2.6233273286229345e-8,1.1392565497567266e-9,9.7300332492691e-10,1.4705606623859607e-9
types/String/SplitAt/uni2-10/String,3.951218704524697e-8,3.899838759801573e-8,4.016959872266669e-8,1.900938426961388e-9,1.6294350483860947e-9,2.2876345802606186e-9
types/String/SplitAt/uni2-10/Text,2.623948766110543e-8,2.5885442445021054e-8,2.6671119008085634e-8,1.3224253802035704e-9,1.107514115895949e-9,1.790314801561521e-9
types/String/SplitAt/ascii-100/String,1.1864688406945865e-7,1.1675046141732649e-7,1.206789406397856e-7,6.740713228704849e-9,5.5094688669599e-9,8.702765643676222e-9
types/String/SplitAt/ascii-100/Text,1.0635402277305714e-7,1.0447403010659523e-7,1.0913628318459936e-7,7.888258093567346e-9,5.969705369820122e-9,1.099632787194303e-8
types/String/SplitAt/mascii-100/String,1.3460869954904118e-7,1.3274117414879492e-7,1.3693780014176687e-7,7.079781551722309e-9,6.127627637684529e-9,8.417513616146534e-9
types/String/SplitAt/mascii-100/Text,1.0599123920792468e-7,1.0439556424060965e-7,1.0813787398261893e-7,5.936704867167729e-9,4.793186711913278e-9,7.69700326520762e-9
types/String/SplitAt/uni1-100/String,1.581085372198055e-7,1.5565524963648057e-7,1.6185506278387484e-7,1.0459242459141666e-8,7.343154227800794e-9,1.589137483178363e-8
types/String/SplitAt/uni1-100/Text,1.0731608731202824e-7,1.0542566676666354e-7,1.097614972284574e-7,6.990242001613232e-9,5.8934941831551035e-9,8.5197096889418e-9
types/String/SplitAt/uni2-100/String,1.6688330847256972e-7,1.6435286186017648e-7,1.6962371248072484e-7,9.381682155172863e-9,7.873908848078568e-9,1.1082466450268844e-8
types/String/SplitAt/uni2-100/Text,1.5496052807277417e-7,1.5247446426280508e-7,1.578743898076114e-7,9.101268743516251e-9,7.85745870363273e-9,1.0746104707934476e-8
types/String/SplitAt/ascii-800/String,1.1856449944419058e-8,1.1675809817610552e-8,1.2052616554040995e-8,6.224282780195505e-10,5.264234352661786e-10,7.452684223203584e-10
types/String/SplitAt/ascii-800/Text,1.1236279105614523e-8,1.1084042754599931e-8,1.1377051525993485e-8,5.036178617944309e-10,4.3616218280249956e-10,6.005804964146091e-10
types/String/SplitAt/mascii-800/String,8.637360461880872e-7,8.493825890826253e-7,8.840005124547624e-7,6.00129191957422e-8,4.4252268262083625e-8,8.182962663843469e-8
types/String/SplitAt/mascii-800/Text,6.522493512846079e-7,6.402718897564477e-7,6.665057563574977e-7,4.332520055060588e-8,3.720213174160174e-8,5.2879189650676096e-8
types/String/SplitAt/uni1-800/String,4.080367493960824e-7,4.0116107311447195e-7,4.156580524048603e-7,2.5215256770398048e-8,2.0429054214522884e-8,3.130177143381925e-8
types/String/SplitAt/uni1-800/Text,1.1090348959280497e-8,1.0934220910026314e-8,1.1264764551086312e-8,5.425434324542778e-10,4.631584797360685e-10,6.821709765842708e-10
types/String/SplitAt/uni2-800/String,1.1988725943678661e-8,1.1791125351050725e-8,1.2230690564578645e-8,6.928135562044259e-10,5.589622156045939e-10,8.453042381966247e-10
types/String/SplitAt/uni2-800/Text,1.1300474502435743e-8,1.1129691414236066e-8,1.1527686349252574e-8,6.408089210972972e-10,4.846523117075467e-10,9.921305610333297e-10
types/String/Buildable/ascii,1.1783642696472192e-5,1.1582509209674503e-5,1.1999332615325678e-5,7.096395544613627e-7,5.818667181495142e-7,9.710006606080582e-7
types/String/Buildable/mascii,2.1347884747032816e-5,2.0982167899943474e-5,2.183901993845822e-5,1.4534075141444495e-6,1.2153236606104828e-6,1.9245584527650535e-6
types/String/Buildable/uni1,9.672196872642471e-6,9.5291840167455e-6,9.823676689266811e-6,4.924888102166029e-7,4.0311423621077475e-7,5.998200316546219e-7
types/String/Buildable/uni2,7.298532499179453e-6,7.176664824242695e-6,7.47118568553531e-6,5.056262337220698e-7,3.8390703599192343e-7,7.769310191305464e-7
types/String/Reverse/ascii/String,2.873537939972161e-5,2.832589743450248e-5,2.9192727654238324e-5,1.3492873024482137e-6,1.191028788609859e-6,1.5769776008903267e-6
types/String/Reverse/ascii/Text,8.670529635114747e-7,8.512222142220132e-7,8.895659141648364e-7,6.352736398890959e-8,4.910668090543759e-8,9.043653620479039e-8
types/String/Reverse/mascii/String,5.899201831416126e-5,5.8122993712899195e-5,6.0110215012207514e-5,3.3449943843293176e-6,2.7867787470628365e-6,4.172872791253703e-6
types/String/Reverse/mascii/Text,1.5767162203798274e-6,1.545397716274956e-6,1.6239288323052105e-6,1.2603068252527193e-7,9.729444929878e-8,1.9480306608094663e-7
types/String/Reverse/uni1/String,4.718101477295551e-5,4.648433731505286e-5,4.790796118666921e-5,2.5648522203866258e-6,2.082184639823203e-6,3.18189384496535e-6
types/String/Reverse/uni1/Text,6.367975134326606e-7,6.249706456098381e-7,6.548816248153656e-7,4.983698804701005e-8,3.905331823002015e-8,6.631803863781936e-8
types/String/Reverse/uni2/String,3.48473749271552e-5,3.4216149648497986e-5,3.5967782895204194e-5,2.7715935048634485e-6,1.958158791554667e-6,4.409159207374703e-6
types/String/Reverse/uni2/Text,7.27503393654791e-7,7.17156535471612e-7,7.385549412215937e-7,3.7081330682156296e-8,3.185955652050626e-8,4.252933189642232e-8
types/String/Filter/ascii/String,2.366619387281106e-5,2.3277559032056267e-5,2.4136564249361116e-5,1.377158924161209e-6,1.049359000769619e-6,1.8563628068797275e-6
types/String/Filter/ascii/Text,4.951048653199245e-6,4.875589860455108e-6,5.035818423153554e-6,2.6496703066668835e-7,2.1222694230249208e-7,3.4228278535843555e-7
types/String/Filter/mascii/String,4.559532875530892e-5,4.498563488151285e-5,4.629068013521966e-5,2.1053430510824654e-6,1.765159432263394e-6,2.6073053742848134e-6
types/String/Filter/mascii/Text,9.051581946229321e-6,8.906153858895579e-6,9.238701154225727e-6,5.511749858180496e-7,4.3760097868468686e-7,7.392829541363293e-7
types/String/Filter/uni1/String,2.266838237010323e-5,2.2295282752687077e-5,2.3154061926069814e-5,1.4100209341862564e-6,1.115681544783663e-6,1.7688006474768472e-6
types/String/Filter/uni1/Text,2.8633428262314504e-6,2.826192097704775e-6,2.9015196698736765e-6,1.2750875812309364e-7,9.985729695313703e-8,1.785859863960893e-7
types/String/Filter/uni2/String,1.6879277252352738e-5,1.6654704964049335e-5,1.7145543597219443e-5,8.195977387788936e-7,7.064015607001292e-7,9.635798999198088e-7
types/String/Filter/uni2/Text,2.176687454635683e-6,2.148754954775161e-6,2.215322116948466e-6,1.0905468870622161e-7,9.185626617211999e-8,1.3892846342736507e-7
types/ByteArray/Length/bs20/UArray_W8,8.764303422270482e-9,8.643872849355535e-9,8.945621872899606e-9,4.791909009726541e-10,3.7233651681736473e-10,6.655002480426873e-10
types/ByteArray/Length/bs20/ByteString,8.171542921488262e-9,8.0585000871266e-9,8.303264016201904e-9,4.1264191211778463e-10,3.494399031076147e-10,5.439042842470351e-10
types/ByteArray/Length/bs200/UArray_W8,8.809844696713722e-9,8.674306455063367e-9,8.964036525587645e-9,4.917734655144023e-10,4.3769689215924435e-10,5.745582831378995e-10
